74686,304.03,95
74888,304.85,95
75088,305.67,95
75298,306.52,95
75504,307.36,95
75702,308.17,95
75902,308.98,95
76102,309.79,95
76306,310.62,95
76514,311.47,95
76716,312.29,95
76919,313.12,95
77130,313.98,95
77344,314.85,95
77557,315.72,95
77766,316.57,95
77982,317.45,95
78201,318.34,95
78425,319.25,95
78643,320.14,95
78832,320.91,95
79031,321.72,95
79239,322.56,95
79460,323.46,95
79685,324.38,95
79909,325.29,95
80132,326.2,95
80347,327.08,95
80414,327.35,95
80498,327.69,95
80637,328.26,95
80797,328.91,95
80871,329.21,95
81026,329.84,95
81252,330.76,95
81485,331.71,95
81706,332.61,94
81947,333.59,94
82186,334.56,94
82423,335.53,93
82653,336.46,92
82882,337.39,92
83091,338.25,92
83334,339.23,92
83563,340.17,92
83793,341.1,92
84018,342.02,91
84244,342.94,91
84479,343.9,91
84713,344.85,91
84941,345.78,91
85169,346.7,91
85394,347.62,91
85618,348.53,91
85838,349.43,91
86064,350.35,91
86297,351.3,91
86519,352.2,91
86734,353.08,91
86951,353.96,91
87172,354.86,91
87386,355.73,91
87599,356.6,91
87818,357.49,91
88032,358.36,91
